date,agriculture,access_date
2004-11-01,104.4,2019-03-08
2004-12-01,100.2,2019-03-08
2005-01-01,99.4,2019-03-08
2005-02-01,99.1,2019-03-08
2005-03-01,100,2019-03-08
2005-04-01,100.1,2019-03-08
2005-05-01,100.7,2019-03-08
2005-06-01,100.3,2019-03-08
2005-07-01,103.9,2019-03-08
2005-08-01,102.1,2019-03-08
2005-09-01,103.3,2019-03-08
2005-10-01,98.2,2019-03-08
2005-11-01,101.7,2019-03-08
2005-12-01,105.5,2019-03-08
2006-01-01,101.6,2019-03-08
2006-02-01,101.2,2019-03-08
2006-03-01,101.7,2019-03-08
2006-04-01,101.6,2019-03-08
2006-05-01,101.2,2019-03-08
2006-06-01,101,2019-03-08
2006-07-01,99.4,2019-03-08
2006-08-01,97.5,2019-03-08
2006-09-01,104.1,2019-03-08
2006-10-01,108.6,2019-03-08
2006-11-01,113.6,2019-03-08
2006-12-01,105.9,2019-03-08
2007-01-01,102.6,2019-03-08
2007-02-01,102.6,2019-03-08
2007-03-01,104.4,2019-03-08
2007-04-01,104.2,2019-03-08
2007-05-01,104.2,2019-03-08
2007-06-01,104.4,2019-03-08
2007-07-01,104.5,2019-03-08
2007-08-01,105.8,2019-03-08
2007-09-01,100.3,2019-03-08
2007-10-01,102.8,2019-03-08
2007-11-01,102.9,2019-03-08
2007-12-01,104,2019-03-08
2008-01-01,104.3,2019-03-08
2008-02-01,105.9,2019-03-08
2008-03-01,106,2019-03-08
2008-04-01,106.6,2019-03-08
2008-05-01,106.8,2019-03-08
2008-06-01,107.3,2019-03-08
2008-07-01,111.1,2019-03-08
2008-08-01,116.8,2019-03-08
2008-09-01,111.2,2019-03-08
2008-10-01,117.5,2019-03-08
2008-11-01,115.5,2019-03-08
2008-12-01,104.5,2019-03-08
2009-01-01,102.3,2019-03-08
2009-02-01,101.8,2019-03-08
2009-03-01,102.4,2019-03-08
2009-04-01,102,2019-03-08
2009-05-01,101.7,2019-03-08
2009-06-01,98.9,2019-03-08
2009-07-01,100.3,2019-03-08
2009-08-01,88.4,2019-03-08
2009-09-01,107.4,2019-03-08
2009-10-01,106.7,2019-03-08
2009-11-01,102.1,2019-03-08
2009-12-01,106.8,2019-03-08
2010-01-01,100.1,2019-03-08
2010-02-01,100.3,2019-03-08
2010-03-01,100.9,2019-03-08
2010-04-01,100.3,2019-03-08
2010-05-01,100.2,2019-03-08
2010-06-01,96,2019-03-08
2010-07-01,89.8,2019-03-08
2010-08-01,76.2,2019-03-08
2010-09-01,74.9,2019-03-08
2010-10-01,96.3,2019-03-08
2010-11-01,93,2019-03-08
2010-12-01,100.6,2019-03-08
2011-01-01,101.7,2019-03-08
2011-02-01,101.8,2019-03-08
2011-03-01,101.7,2019-03-08
2011-04-01,101.5,2019-03-08
2011-05-01,101.3,2019-03-08
2011-06-01,102,2019-03-08
2011-07-01,114.8,2019-03-08
2011-08-01,125.9,2019-03-08
2011-09-01,139.3,2019-03-08
2011-10-01,140.4,2019-03-08
2011-11-01,140.5,2019-03-08
2011-12-01,104.8,2019-03-08
2012-01-01,102.5,2019-03-08
2012-02-01,103.9,2019-03-08
2012-03-01,104.9,2019-03-08
2012-04-01,105,2019-03-08
2012-05-01,104.7,2019-03-08
2012-06-01,103.3,2019-03-08
2012-07-01,96.3,2019-03-08
2012-08-01,95.8,2019-03-08
2012-09-01,91.4,2019-03-08
2012-10-01,85.3,2019-03-08
2012-11-01,90.5,2019-03-08
2012-12-01,101.4,2019-03-08
2013-01-01,101.6,2019-03-08
2013-02-01,101.5,2019-03-08
2013-03-01,101.2,2019-03-08
2013-04-01,100.8,2019-03-08
2013-05-01,100.6,2019-03-08
2013-06-01,101.2,2019-03-08
2013-07-01,105.5,2019-03-08
2013-08-01,103.3,2019-03-08
2013-09-01,101.8,2019-03-08
2013-10-01,121.9,2019-03-08
2013-11-01,110.3,2019-03-08
2013-12-01,101.4,2019-03-08
2014-01-01,102.1,2019-03-08
2014-02-01,102.3,2019-03-08
2014-03-01,102.5,2019-03-08
2014-04-01,103.3,2019-03-08
2014-05-01,103.3,2019-03-08
2014-06-01,102.8,2019-03-08
2014-07-01,108.3,2019-03-08
2014-08-01,104.6,2019-03-08
2014-09-01,116.3,2019-03-08
2014-10-01,88.1,2019-03-08
2014-11-01,100.5,2019-03-08
2014-12-01,104,2019-03-08
2015-01-01,102.2,2019-03-08
2015-02-01,102.6,2019-03-08
2015-03-01,103.6,2019-03-08
2015-04-01,102.7,2019-03-08
2015-05-01,102.1,2019-03-08
2015-06-01,101,2019-03-08
2015-07-01,97.4,2019-03-08
2015-08-01,101.9,2019-03-08
2015-09-01,103.1,2019-03-08
2015-10-01,107,2019-03-08
2015-11-01,101.7,2019-03-08
2015-12-01,103,2019-03-08
2016-01-01,103.3,2019-03-08
2016-02-01,103.8,2019-03-08
2016-03-01,103.6,2019-03-08
2016-04-01,103.5,2019-03-08
2016-05-01,103.4,2019-03-08
2016-06-01,102.9,2019-03-08
2016-07-01,107.4,2019-03-08
2016-08-01,105.7,2019-03-08
2016-09-01,104.7,2019-03-08
2016-10-01,104.3,2019-03-08
2016-11-01,106.8,2019-03-08
2016-12-01,103.4,2019-03-08
2017-01-01,101.5,2019-03-08
2017-02-01,101.1,2019-03-08
2017-03-01,102.1,2019-03-08
2017-04-01,101.7,2019-03-08
2017-05-01,101.2,2019-03-08
2017-06-01,99.6,2019-03-08
2017-07-01,98.2,2019-03-08
2017-08-01,106.1,2019-03-08
2017-09-01,109.5,2019-03-08
2017-10-01,98.4,2019-03-08
2017-11-01,102.1,2019-03-08
2017-12-01,104.1,2019-03-08
2018-01-01,102.3,2019-03-08
2018-02-01,102.3,2019-03-08
2018-03-01,102.4,2019-03-08
2018-04-01,102.3,2019-03-08
2018-05-01,102.2,2019-03-08
2018-06-01,100.8,2019-03-08
2018-07-01,101.7,2019-03-08
2018-08-01,89.4,2019-03-08
2018-09-01,95.3,2019-03-08
2018-10-01,112.1,2019-03-08
2018-11-01,93.9,2019-03-08
2018-12-01,99.9,2019-03-08
